Temperature,Growth,Metal_source,Metal_amount (g),Metal_mmol (mmol),Metal_concentration (mmol/g),Chalcogen_source,Chalcogen_amount (g),Chalcogen_mmol (mmol),Chalcogen_concentration (mmol/g),Metal/Se_ratio,Carboxylic_Acid,CA_amount (g),CA_mmol (mmol),Cd/CA_ratio,Amines,Amines_amount (g),Phosphines,Phosphines_amount (g),Phosphines_mmol (mmol),Chalcogen/Ph_ratio,Solvent I,S_I_amount (g),Solvent II,S_II_amount (g),Total_amount (g),Time_min (min),Purification antisolvent,Diameter_nm,FWHM (nm),Absorbance max (nm),PL max (nm),PLQY (%),Phase,Diameter from,Citation
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,0.17,None,2.4731,None,491,504,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,0.5,None,2.9895,None,537,547,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,1,None,3.3729,None,553,563,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,3,None,3.6857,None,565,575,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,5,None,3.8215,None,568,578,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,10,None,3.8785,None,570,583,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,trioctylphosphine,1.16,3.13,0.15,octadecene,17.2,phosphinic acid,0.6,20.55,20,None,4.0901,None,575,586,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,18.3,phosphinic acid,0.6,20.49,0.17,None,2.34,None,472,498,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,18.3,phosphinic acid,0.6,20.49,0.5,None,2.7943,None,519,537,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,18.3,phosphinic acid,0.6,20.49,1,None,2.9968,None,532,547,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,18.3,phosphinic acid,0.6,20.49,5,None,3.161,None,542,555,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,18.3,phosphinic acid,0.6,20.49,20,None,3.4157,None,550,566,None,Wurtzite,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,0.17,None,2.5094,None,501,511,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,0.5,None,2.9639,None,532,542,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,1,None,3.2593,None,542,558,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,3,None,3.6297,None,555,573,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,5,None,3.7911,None,558,578,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,10,None,3.9063,None,560,581,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
300,230,cadmium oxide,0.06,0.47,0.02,Se powder,0.04,0.47,0.02,1,oleic acid,1.49,5.27,0.09,None,0,None,0,0,0,octadecene,27.9,None,0,29.49,20,None,4.0278,None,563,584,None,Zinc Blende,absorbance spectra,J. Phys. Chem. B 2005 109 44 20665 - 20668
